entity_type	entity_id	place_id	year_start	year_end	reason_predicate_id	stance	path_signature
group	samaritans	samaria	-200	100	group_present_at		path-52034d5e5bd4a7b6
group	qumran-community	qumran	-150	68	group_present_at		path-9f13434023c7d910
group	essenes	judea	-150	70	group_present_at		path-523bd0ddd0dfb430
person	caiaphas	jerusalem	18	36	active_in		path-14ff57a8dbdea411
person	pontius-pilate	judea	26	36	active_in		path-d6e01aab1c887ccb
person	herod-antipas	galilee	26	39	active_in		path-aa05c99d6a326761
event	baptism-of-jesus	bethany-beyond-the-jordan	27	27	event_occurs_at		path-a73a2cb0e166a12d
group	followers-of-john-the-baptist	wilderness-of-judea	27	28	group_present_at		path-fbf574ba88c39de9
person	john-the-baptist	wilderness-of-judea	27	28	active_in		path-11f79275ca29126f
proposition	repentance-is-required	wilderness-of-judea	27	28	derived_proposition_presence	affirms	drv-919cb82fc5b2cf59
proposition	disciples-are-called-to-follow-jesus	galilee	27	30	derived_proposition_presence	affirms	drv-67a50822290b2e48
proposition	disciples-are-called-to-follow-jesus	nazareth	27	30	derived_proposition_presence	affirms	drv-9da1a0e590f5586d
person	jesus-of-nazareth	galilee	27	30	active_in		path-7a21f0e6ae9be5d1
person	jesus-of-nazareth	nazareth	27	30	active_in		path-69636b224a4e507e
proposition	jesus-teaches-with-unique-authority	galilee	27	30	derived_proposition_presence	affirms	drv-8fb29ca9f4609f3e
proposition	jesus-teaches-with-unique-authority	nazareth	27	30	derived_proposition_presence	affirms	drv-043acb7eb43665a1
proposition	kingdom-of-god-has-drawn-near	galilee	27	30	derived_proposition_presence	affirms	drv-241a7818b4ce18ec
proposition	kingdom-of-god-has-drawn-near	nazareth	27	30	derived_proposition_presence	affirms	drv-e6b49fbc6e4d2489
group	pharisees	judea	27	30	group_present_at		path-6223dc9cc4637342
proposition	repentance-is-required	galilee	27	30	derived_proposition_presence	affirms	drv-86f8227bea1339e8
