proposition_id	place_id	year_start	year_end	stance	supporting_claim_count	opposing_claim_count	derived_edge_ids	derivation_hash
fasting-is-required	rome	110	110	affirms	1	0	edge-97c32c3b120c2300	drv-b45df12f14009cd1
fasting-is-required	smyrna	110	110	affirms	1	0	edge-4cf63ccf3dd151b5|edge-c7a8a6c68975ae69	drv-409ca8d599e8123d
final-judgment-is-coming	ephesus	110	110	affirms	1	0	edge-aa8f5696f40d7797	drv-a85ac0e87616e1ac
final-judgment-is-coming	philadelphia-asia	110	110	affirms	1	0	edge-4d4b077c1a524587	drv-e9409424b179533c
final-judgment-is-coming	rome	110	110	affirms	1	0	edge-88e66d93ffe4ddae	drv-7a6ac289c8c673c8
final-judgment-is-coming	smyrna	110	110	affirms	1	0	edge-136f0612282edc1c|edge-ced62059a151988e	drv-5265fa1e8e950a2d
frequent-eucharistic-assembly	ephesus	110	110	affirms	1	0	edge-ad6a9d77e7637a46	drv-e922ee910bf8b22a
frequent-eucharistic-assembly	philadelphia-asia	110	110	affirms	1	0	edge-e10e43dc36a52daa	drv-0e2140ef47ba4365
frequent-eucharistic-assembly	rome	110	110	affirms	1	0	edge-6ceced2042b898b7	drv-73b40961317a07ce
frequent-eucharistic-assembly	smyrna	110	110	affirms	1	0	edge-166496ba9cea6492|edge-7eda23dfc72e9546	drv-8c9a2a24fa321eee
jesus-born-of-virgin	ephesus	110	110	affirms	1	0	edge-343fc7299e957319	drv-e66f7c5b641fdea8
jesus-born-of-virgin	philadelphia-asia	110	110	affirms	1	0	edge-13caca88c0ca737f	drv-61eea2f0d29ab573
jesus-born-of-virgin	rome	110	110	affirms	1	0	edge-6a935dea9fc8b7a4	drv-cab93c514df91d46
jesus-born-of-virgin	smyrna	110	110	affirms	1	0	edge-04ba734f07522855|edge-44dab46187309620	drv-fca567a3d12eb1fc
logos-is-pre-existent-son-of-god	ephesus	110	110	affirms	1	0	edge-2477bc29006dbd83	drv-de7dd7cca48b50d4
logos-is-pre-existent-son-of-god	philadelphia-asia	110	110	affirms	1	0	edge-c0046c857f1e4143	drv-8e8d711db83b80d7
logos-is-pre-existent-son-of-god	rome	110	110	affirms	1	0	edge-c06822e3df57598a	drv-a64c439a10ef51a5
logos-is-pre-existent-son-of-god	smyrna	110	110	affirms	1	0	edge-8188dd3cb12ac444|edge-e26595f34bbae2ef	drv-2b8559390547bd55
martyrdom-witnesses-to-christ	ephesus	110	110	affirms	1	0	edge-5721f189e6128246	drv-34856bcc6e5aedb4
martyrdom-witnesses-to-christ	philadelphia-asia	110	110	affirms	1	0	edge-c22d31f5c3034f73	drv-2cdd61d60b8f9764
martyrdom-witnesses-to-christ	rome	110	110	affirms	1	0	edge-42bfbfb5898c379a	drv-9e430484c53eb2cc
martyrdom-witnesses-to-christ	smyrna	110	110	affirms	1	0	edge-4f545e8e8c2ef692|edge-510c5527b575d87d	drv-68d7d805bea09f58
old-testament-is-authoritative-scripture	ephesus	110	110	affirms	1	0	edge-40ab3c78acbbcb35	drv-720f8f33ff58967a
old-testament-is-authoritative-scripture	philadelphia-asia	110	110	affirms	1	0	edge-2ec858fe6230c5e8	drv-3e56c8fe6df7a756
old-testament-is-authoritative-scripture	rome	110	110	affirms	1	0	edge-c66d7ed495b53f3a	drv-6120f89576ce762e
old-testament-is-authoritative-scripture	smyrna	110	110	affirms	1	0	edge-3bed2610249da1e7|edge-6e2a7756a0b7932e	drv-48be9bf6783ced15
ordination-conferred-by-laying-on-of-hands	ephesus	110	110	affirms	1	0	edge-432a0535f34cfbe8	drv-2a7e1fe4221490cc
ordination-conferred-by-laying-on-of-hands	philadelphia-asia	110	110	affirms	1	0	edge-fa2a43cbd5c06827	drv-698b44afb5b170dc
ordination-conferred-by-laying-on-of-hands	rome	110	110	affirms	1	0	edge-3a2ebb88a6ebb6ea	drv-599c4093ce40923c
ordination-conferred-by-laying-on-of-hands	smyrna	110	110	affirms	1	0	edge-30e095b38f7c88d0|edge-bcd401d122a37f31	drv-2444e39ed4bd6303
repentance-is-required	ephesus	110	110	affirms	1	0	edge-95ebf708cbb50806	drv-0303be673e78a08d
repentance-is-required	philadelphia-asia	110	110	affirms	1	0	edge-2e1f1db6496d8ae7	drv-c5016d5e2b80a244
repentance-is-required	rome	110	110	affirms	1	0	edge-0b490e4a3e7ab234	drv-abd0ad9a99daa8b4
repentance-is-required	smyrna	110	110	affirms	1	0	edge-58b4fc666c323f2f|edge-8bf256cbfe6d6cfc	drv-18453fef832e6e5e
rule-of-faith-received-from-apostles	ephesus	110	110	affirms	1	0	edge-e6bcad5a461eddaa	drv-50e1d4aab733ca71
rule-of-faith-received-from-apostles	philadelphia-asia	110	110	affirms	1	0	edge-9701a33db8315d4f	drv-530da30cdbe1d39c
rule-of-faith-received-from-apostles	rome	110	110	affirms	1	0	edge-38d78d2376a4cd05	drv-30d1d4ee87d91901
rule-of-faith-received-from-apostles	smyrna	110	110	affirms	1	0	edge-0d4c59ef890d9d72|edge-9ab3184da61551f9	drv-e5cba278a39824fd
threefold-ministry-required	ephesus	110	110	affirms	1	0	edge-d64b8bfef886a75b	drv-1d583da45369c93f
threefold-ministry-required	philadelphia-asia	110	110	affirms	1	0	edge-cc4a65857d3ba3e9	drv-f31902dbe57d5b86
threefold-ministry-required	rome	110	110	affirms	1	0	edge-71d4a92f9c270d9f	drv-e167539aa3c814af
threefold-ministry-required	smyrna	110	110	affirms	1	0	edge-39a9267030ef0b7d|edge-6946e133c4f89ece	drv-4c915ad1a861c918
christ-truly-suffered-and-died	philippi	110	120	affirms	1	0	edge-7bcc1ff684f7ba5b	drv-577e5dfa2a55af0d
christ-truly-suffered-and-died	smyrna	110	120	affirms	1	0	edge-3379a387bede3561	drv-4d814509c93c7f3d
